Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Paparangi,Paparangi,2000-01-01,2026-06-01,5.71%,direct,"Between January 2000 and June 2026, Paparangi achieved a capital growth of 5.71%.",,"Between January 2000 and June 2026, Paparangi achieved a capital growth of 5.71%."
Paraparaumu,Paraparaumu,2000-01-01,2026-06-01,5.62%,direct,"Between January 2000 and June 2026, Paraparaumu achieved a capital growth of 5.62%.",,"Between January 2000 and June 2026, Paraparaumu achieved a capital growth of 5.62%."
Paraparaumu Beach,Paraparaumu Beach,2000-01-01,2026-06-01,5.39%,direct,"Between January 2000 and June 2026, Paraparaumu Beach achieved a capital growth of 5.39%.",,"Between January 2000 and June 2026, Paraparaumu Beach achieved a capital growth of 5.39%."
Paremata,Paremata,2000-01-01,2026-06-01,4.93%,direct,"Between January 2000 and June 2026, Paremata achieved a capital growth of 4.93%.",,"Between January 2000 and June 2026, Paremata achieved a capital growth of 4.93%."
Pauatahanui,Pauatahanui,2000-01-01,2026-06-01,4.86%,calculated,,"The exact capital growth data for Pauatahanui was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.86%.","The exact capital growth data for Pauatahanui was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.86%."
Pencarrow Head,Pencarrow Head,2000-01-01,2026-06-01,5.10%,calculated,,"The exact capital growth data for Pencarrow Head was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.10%.","The exact capital growth data for Pencarrow Head was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.10%."
Petone,Petone,2000-01-01,2026-06-01,5.43%,direct,"Between January 2000 and June 2026, Petone achieved a capital growth of 5.43%.",,"Between January 2000 and June 2026, Petone achieved a capital growth of 5.43%."
Pinehaven,Pinehaven,2000-01-01,2026-06-01,5.45%,direct,"Between January 2000 and June 2026, Pinehaven achieved a capital growth of 5.45%.",,"Between January 2000 and June 2026, Pinehaven achieved a capital growth of 5.45%."
Pipitea,Pipitea,2000-01-01,2026-06-01,3.79%,calculated,,"The exact capital growth data for Pipitea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 3.79%.","The exact capital growth data for Pipitea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 3.79%."
Plimmerton,Plimmerton,2000-01-01,2026-06-01,4.69%,direct,"Between January 2000 and June 2026, Plimmerton achieved a capital growth of 4.69%.",,"Between January 2000 and June 2026, Plimmerton achieved a capital growth of 4.69%."
Point Howard,Point Howard,2000-01-01,2026-06-01,7.04%,calculated,,"The exact capital growth data for Point Howard was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%.","The exact capital growth data for Point Howard was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%."
