Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Russley,Russley,2000-01-01,6/1/2026,5.41%,direct,"Between January 2000 and June 2026, Russley achieved a capital growth of 5.41%.",,"Between January 2000 and June 2026, Russley achieved a capital growth of 5.41%."
Saint Albans,St Albans,2000-01-01,6/1/2026,5.99%,direct,"Between January 2000 and June 2026, Saint Albans achieved a capital growth of 5.99%.",,"Between January 2000 and June 2026, Saint Albans achieved a capital growth of 5.99%."
Saint Martins,Saint Martins,2000-01-01,6/1/2026,5.73%,direct,"Between January 2000 and June 2026, Saint Martins achieved a capital growth of 5.73%.",,"Between January 2000 and June 2026, Saint Martins achieved a capital growth of 5.73%."
Scarborough,Scarborough,2000-01-01,6/1/2026,6.38%,calculated,,"The exact capital growth data for Scarborough was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.38%.","The exact capital growth data for Scarborough was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.38%."
Shirley,Shirley,2000-01-01,6/1/2026,5.51%,direct,"Between January 2000 and June 2026, Shirley achieved a capital growth of 5.51%.",,"Between January 2000 and June 2026, Shirley achieved a capital growth of 5.51%."
Sockburn,Sockburn,2000-01-01,6/1/2026,5.52%,direct,"Between January 2000 and June 2026, Sockburn achieved a capital growth of 5.52%.",,"Between January 2000 and June 2026, Sockburn achieved a capital growth of 5.52%."
Somerfield,Somerfield,2000-01-01,6/1/2026,5.99%,direct,"Between January 2000 and June 2026, Somerfield achieved a capital growth of 5.99%.",,"Between January 2000 and June 2026, Somerfield achieved a capital growth of 5.99%."
South New Brighton,South New Brighton,2000-01-01,6/1/2026,5.85%,direct,"Between January 2000 and June 2026, South New Brighton achieved a capital growth of 5.85%.",,"Between January 2000 and June 2026, South New Brighton achieved a capital growth of 5.85%."
Southshore,Southshore,2000-01-01,6/1/2026,5.37%,direct,"Between January 2000 and June 2026, Southshore achieved a capital growth of 5.37%.",,"Between January 2000 and June 2026, Southshore achieved a capital growth of 5.37%."
Spreydon,Spreydon,2000-01-01,6/1/2026,5.91%,direct,"Between January 2000 and June 2026, Spreydon achieved a capital growth of 5.91%.",,"Between January 2000 and June 2026, Spreydon achieved a capital growth of 5.91%."
Strowan,Strowan,2000-01-01,6/1/2026,6.47%,direct,"Between January 2000 and June 2026, Strowan achieved a capital growth of 6.47%.",,"Between January 2000 and June 2026, Strowan achieved a capital growth of 6.47%."
Sumner,Sumner,2000-01-01,6/1/2026,6.38%,direct,"Between January 2000 and June 2026, Sumner achieved a capital growth of 6.38%.",,"Between January 2000 and June 2026, Sumner achieved a capital growth of 6.38%."
Sydenham,Sydenham,2000-01-01,6/1/2026,6.09%,direct,"Between January 2000 and June 2026, Sydenham achieved a capital growth of 6.09%.",,"Between January 2000 and June 2026, Sydenham achieved a capital growth of 6.09%."
Templeton,Templeton,2000-01-01,6/1/2026,5.30%,direct,"Between January 2000 and June 2026, Templeton achieved a capital growth of 5.30%.",,"Between January 2000 and June 2026, Templeton achieved a capital growth of 5.30%."
Upper Riccarton,Upper Riccarton,2000-01-01,6/1/2026,5.70%,direct,"Between January 2000 and June 2026, Upper Riccarton achieved a capital growth of 5.70%.",,"Between January 2000 and June 2026, Upper Riccarton achieved a capital growth of 5.70%."
Waimairi Beach,Waimairi Beach,2000-01-01,6/1/2026,5.30%,direct,"Between January 2000 and June 2026, Waimairi Beach achieved a capital growth of 5.30%.",,"Between January 2000 and June 2026, Waimairi Beach achieved a capital growth of 5.30%."
Wainoni,Wainoni,2000-01-01,6/1/2026,5.75%,direct,"Between January 2000 and June 2026, Wainoni achieved a capital growth of 5.75%.",,"Between January 2000 and June 2026, Wainoni achieved a capital growth of 5.75%."
Waltham,Waltham,2000-01-01,6/1/2026,5.90%,direct,"Between January 2000 and June 2026, Waltham achieved a capital growth of 5.90%.",,"Between January 2000 and June 2026, Waltham achieved a capital growth of 5.90%."
Westmorland,Westmorland,2000-01-01,6/1/2026,5.06%,direct,"Between January 2000 and June 2026, Westmorland achieved a capital growth of 5.06%.",,"Between January 2000 and June 2026, Westmorland achieved a capital growth of 5.06%."
Wigram,Wigram,2000-01-01,6/1/2026,5.72%,calculated,,"The exact capital growth data for Wigram was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%.","The exact capital growth data for Wigram was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%."
Woolston,Woolston,2000-01-01,6/1/2026,5.77%,calculated,,"The exact capital growth data for Woolston was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.77%.","The exact capital growth data for Woolston was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.77%."
Yaldhurst,Yaldhurst,2000-01-01,6/1/2026,5.60%,calculated,,"The exact capital growth data for Yaldhurst was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.60%.","The exact capital growth data for Yaldhurst was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.60%."
