Year ended June,Housing cost,Subject population,Measure,Value,Value Unit,Value Label,Null Reason,Metadata 1,Metadata 2
2025,Property and ground rent,Households with that type of expenditure,Average weekly household expenditure,495.4,nzd,NZD,
2025,Total mortgage payments,Households with that type of expenditure,Percentage of households reporting expenditure,29.8,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total mortgage payments,Households with that type of expenditure,Percentage of total housing costs expenditure,43.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total mortgage payments,Households with that type of expenditure,Percent change from previous year,4.9,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total mortgage payments,Households with that type of expenditure,Level sample error on percent change,3.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Property rates,Households with that type of expenditure,Average weekly household expenditure,78.3,nzd,NZD,
2025,Property rates,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.3,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Property rates,Households with that type of expenditure,Percentage of households reporting expenditure,72.1,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property rates,Households with that type of expenditure,Percentage of total housing costs expenditure,11.8,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property rates,Households with that type of expenditure,Percent change from previous year,5.6,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property rates,Households with that type of expenditure,Level sample error on percent change,2.2,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Building-related insurance,Households with that type of expenditure,Average weekly household expenditure,58.7,nzd,NZD,
2025,Building-related insurance,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.3,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Building-related insurance,Households with that type of expenditure,Percentage of households reporting expenditure,54.7,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Building-related insurance,Households with that type of expenditure,Percentage of total housing costs expenditure,6.7,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Building-related insurance,Households with that type of expenditure,Percent change from previous year,9.8,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Building-related insurance,Households with that type of expenditure,Level sample error on percent change,2.7,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Other housing costs,Households with that type of expenditure,Average weekly household expenditure,74.1,nzd,NZD,
2025,Other housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,16.9,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Other housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,7.2,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,1.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other housing costs,Households with that type of expenditure,Percent change from previous year,-1.7,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other housing costs,Households with that type of expenditure,Level sample error on percent change,19.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Total housing costs,Households with that type of expenditure,Average weekly household expenditure,478,nzd,NZD,
2025,Total housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Total housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,100,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,100,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total housing costs,Households with that type of expenditure,Percent change from previous year,4.4,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total housing costs,Households with that type of expenditure,Level sample error on percent change,2.2,percentage,% error,,Sampling errors are rounded to one decimal place.
2024,Property and ground rent,Households with that type of expenditure,Average weekly household expenditure,475,nzd,NZD,,Revised
2024,Property and ground rent,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.5,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Property and ground rent,Households with that type of expenditure,Percentage of households reporting expenditure,34.4,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property and ground rent,Households with that type of expenditure,Percentage of total housing costs expenditure,35.7,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property and ground rent,Households with that type of expenditure,Percent change from previous year,8.8,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property and ground rent,Households with that type of expenditure,Level sample error on percent change,2.6,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Other payments connected with renting,Households with that type of expenditure,Average weekly household expenditure,31.5,nzd,NZD,,Revised
2024,Other payments connected with renting,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,9.7,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Other payments connected with renting,Households with that type of expenditure,Percentage of households reporting expenditure,9.3,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other payments connected with renting,Households with that type of expenditure,Percentage of total housing costs expenditure,0.6,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other payments connected with renting,Households with that type of expenditure,Percent change from previous year,5,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other payments connected with renting,Households with that type of expenditure,Level sample error on percent change,13.5,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total rent payments,Households with that type of expenditure,Average weekly household expenditure,463.8,nzd,NZD,,Revised
2024,Total rent payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.7,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total rent payments,Households with that type of expenditure,Percentage of households reporting expenditure,35.9,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total rent payments,Households with that type of expenditure,Percentage of total housing costs expenditure,36.4,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total rent payments,Households with that type of expenditure,Percent change from previous year,8.8,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total rent payments,Households with that type of expenditure,Level sample error on percent change,2.8,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Mortgage principal repayments,Households with that type of expenditure,Average weekly household expenditure,252.8,nzd,NZD,,Revised
2024,Mortgage principal repayments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,3.1,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Mortgage principal repayments,Households with that type of expenditure,Percentage of households reporting expenditure,29.2,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage principal repayments,Households with that type of expenditure,Percentage of total housing costs expenditure,16.1,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage principal repayments,Households with that type of expenditure,Percent change from previous year,-17.9,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage principal repayments,Households with that type of expenditure,Level sample error on percent change,6,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Mortgage interest payments,Households with that type of expenditure,Average weekly household expenditure,423.4,nzd,NZD,,Revised
2024,Mortgage interest payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.9,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Mortgage interest payments,Households with that type of expenditure,Percentage of households reporting expenditure,30.8,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage interest payments,Households with that type of expenditure,Percentage of total housing costs expenditure,28.4,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage interest payments,Households with that type of expenditure,Percent change from previous year,35.6,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Mortgage interest payments,Households with that type of expenditure,Level sample error on percent change,6.6,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Application and service fees for mortgages,Households with that type of expenditure,Average weekly household expenditure,14.4,nzd,NZD,,Revised
2024,Application and service fees for mortgages,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,31.9,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Application and service fees for mortgages,Households with that type of expenditure,Percentage of households reporting expenditure,1.8,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Application and service fees for mortgages,Households with that type of expenditure,Percentage of total housing costs expenditure,0.1,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Application and service fees for mortgages,Households with that type of expenditure,Percent change from previous year,6.6,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Application and service fees for mortgages,Households with that type of expenditure,Level sample error on percent change,51.4,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total mortgage payments,Households with that type of expenditure,Average weekly household expenditure,658.4,nzd,NZD,,Revised
2024,Total mortgage payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.4,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total mortgage payments,Households with that type of expenditure,Percentage of households reporting expenditure,31,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total mortgage payments,Households with that type of expenditure,Percentage of total housing costs expenditure,44.6,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total mortgage payments,Households with that type of expenditure,Percent change from previous year,8.6,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total mortgage payments,Households with that type of expenditure,Level sample error on percent change,5.2,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Property rates,Households with that type of expenditure,Average weekly household expenditure,74.2,nzd,NZD,,Revised
2024,Property rates,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.7,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Property rates,Households with that type of expenditure,Percentage of households reporting expenditure,72.1,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property rates,Households with that type of expenditure,Percentage of total housing costs expenditure,11.7,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property rates,Households with that type of expenditure,Percent change from previous year,9.4,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Property rates,Households with that type of expenditure,Level sample error on percent change,2.8,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Building-related insurance,Households with that type of expenditure,Average weekly household expenditure,53.5,nzd,NZD,,Revised
2024,Building-related insurance,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Building-related insurance,Households with that type of expenditure,Percentage of households reporting expenditure,53.3,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Building-related insurance,Households with that type of expenditure,Percentage of total housing costs expenditure,6.2,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Building-related insurance,Households with that type of expenditure,Percent change from previous year,15.7,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Building-related insurance,Households with that type of expenditure,Level sample error on percent change,5,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Other housing costs,Households with that type of expenditure,Average weekly household expenditure,75.4,nzd,NZD,,Revised
2024,Other housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,11.8,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Other housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,7,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,1.1,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other housing costs,Households with that type of expenditure,Percent change from previous year,0,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Other housing costs,Households with that type of expenditure,Level sample error on percent change,21.2,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total housing costs,Households with that type of expenditure,Average weekly household expenditure,457.9,nzd,NZD,,Revised
2024,Total housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.5,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2024,Total housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,100,percentage,% of households,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,100,percentage,% of total housing costs,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total housing costs,Households with that type of expenditure,Percent change from previous year,8.2,percentage,% change,,Revised,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2024,Total housing costs,Households with that type of expenditure,Level sample error on percent change,2.9,percentage,% error,,Revised,Sampling errors are rounded to one decimal place.
2023,Property and ground rent,Households with that type of expenditure,Average weekly household expenditure,436.7,nzd,NZD,
2023,Property and ground rent,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Property and ground rent,Households with that type of expenditure,Percentage of households reporting expenditure,33.6,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property and ground rent,Households with that type of expenditure,Percentage of total housing costs expenditure,34.6,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property and ground rent,Households with that type of expenditure,Percent change from previous year,4.3,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property and ground rent,Households with that type of expenditure,Level sample error on percent change,3.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Other payments connected with renting,Households with that type of expenditure,Average weekly household expenditure,30,nzd,NZD,
2023,Other payments connected with renting,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,7.7,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Other payments connected with renting,Households with that type of expenditure,Percentage of households reporting expenditure,9,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other payments connected with renting,Households with that type of expenditure,Percentage of total housing costs expenditure,0.6,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other payments connected with renting,Households with that type of expenditure,Percent change from previous year,12.8,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other payments connected with renting,Households with that type of expenditure,Level sample error on percent change,12.9,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total rent payments,Households with that type of expenditure,Average weekly household expenditure,426.2,nzd,NZD,
2023,Total rent payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.1,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total rent payments,Households with that type of expenditure,Percentage of households reporting expenditure,35,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total rent payments,Households with that type of expenditure,Percentage of total housing costs expenditure,35.3,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total rent payments,Households with that type of expenditure,Percent change from previous year,4.1,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total rent payments,Households with that type of expenditure,Level sample error on percent change,3.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Mortgage principal repayments,Households with that type of expenditure,Average weekly household expenditure,307.9,nzd,NZD,
2023,Mortgage principal repayments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,6.3,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Mortgage principal repayments,Households with that type of expenditure,Percentage of households reporting expenditure,30.3,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage principal repayments,Households with that type of expenditure,Percentage of total housing costs expenditure,22.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage principal repayments,Households with that type of expenditure,Percent change from previous year,6.6,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage principal repayments,Households with that type of expenditure,Level sample error on percent change,7.8,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Mortgage interest payments,Households with that type of expenditure,Average weekly household expenditure,312.3,nzd,NZD,
2023,Mortgage interest payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,3.7,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Mortgage interest payments,Households with that type of expenditure,Percentage of households reporting expenditure,31.8,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage interest payments,Households with that type of expenditure,Percentage of total housing costs expenditure,23.4,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage interest payments,Households with that type of expenditure,Percent change from previous year,50.1,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Mortgage interest payments,Households with that type of expenditure,Level sample error on percent change,7.7,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Application and service fees for mortgages,Households with that type of expenditure,Average weekly household expenditure,13.6,nzd,NZD,
2023,Application and service fees for mortgages,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,31.9,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Application and service fees for mortgages,Households with that type of expenditure,Percentage of households reporting expenditure,2.6,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Application and service fees for mortgages,Households with that type of expenditure,Percentage of total housing costs expenditure,0.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Application and service fees for mortgages,Households with that type of expenditure,Percent change from previous year,60.4,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Application and service fees for mortgages,Households with that type of expenditure,Level sample error on percent change,73.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total mortgage payments,Households with that type of expenditure,Average weekly household expenditure,606.2,nzd,NZD,
2023,Total mortgage payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,3.9,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total mortgage payments,Households with that type of expenditure,Percentage of households reporting expenditure,31.8,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total mortgage payments,Households with that type of expenditure,Percentage of total housing costs expenditure,45.6,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total mortgage payments,Households with that type of expenditure,Percent change from previous year,27.6,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total mortgage payments,Households with that type of expenditure,Level sample error on percent change,5.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Property rates,Households with that type of expenditure,Average weekly household expenditure,67.8,nzd,NZD,
2023,Property rates,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.8,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Property rates,Households with that type of expenditure,Percentage of households reporting expenditure,73,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property rates,Households with that type of expenditure,Percentage of total housing costs expenditure,11.7,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property rates,Households with that type of expenditure,Percent change from previous year,5.9,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Property rates,Households with that type of expenditure,Level sample error on percent change,3,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Building-related insurance,Households with that type of expenditure,Average weekly household expenditure,46.2,nzd,NZD,
2023,Building-related insurance,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,3.8,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Building-related insurance,Households with that type of expenditure,Percentage of households reporting expenditure,57.4,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Building-related insurance,Households with that type of expenditure,Percentage of total housing costs expenditure,6.3,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Building-related insurance,Households with that type of expenditure,Percent change from previous year,14,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Building-related insurance,Households with that type of expenditure,Level sample error on percent change,5,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Other housing costs,Households with that type of expenditure,Average weekly household expenditure,75.4,nzd,NZD,
2023,Other housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,16.8,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Other housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,6.4,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,1.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other housing costs,Households with that type of expenditure,Percent change from previous year,3.4,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Other housing costs,Households with that type of expenditure,Level sample error on percent change,24.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total housing costs,Households with that type of expenditure,Average weekly household expenditure,423.1,nzd,NZD,
2023,Total housing costs,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.2,percentage,% error,,Sampling errors are rounded to one decimal place.
2023,Total housing costs,Households with that type of expenditure,Percentage of households reporting expenditure,100,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total housing costs,Households with that type of expenditure,Percentage of total housing costs expenditure,100,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total housing costs,Households with that type of expenditure,Percent change from previous year,14.5,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2023,Total housing costs,Households with that type of expenditure,Level sample error on percent change,3.1,percentage,% error,,Sampling errors are rounded to one decimal place.
2022,Property and ground rent,Households with that type of expenditure,Average weekly household expenditure,418.8,nzd,NZD,
