Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Counties Manukau,24.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Counties Manukau,32.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Waikato,34.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Waikato,21.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Waikato,31.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Lakes,35.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Lakes,24.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Lakes,32.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Bay of Plenty,32.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Bay of Plenty,18.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Bay of Plenty,29.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Tairāwhiti,32.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Tairāwhiti,22.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Tairāwhiti,29.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Taranaki,37.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Taranaki,24.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Taranaki,35.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Hawke's Bay,34.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Hawke's Bay,22,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Hawke's Bay,32.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Whanganui,36.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Whanganui,25.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waikato,16.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Whanganui,33.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,MidCentral,38.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,MidCentral,24.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,MidCentral,36.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Hutt Valley,42.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Hutt Valley,26,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Hutt Valley,40.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Capital and Coast,34.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Capital and Coast,22.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Capital and Coast,33,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Wairarapa,38.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Wairarapa,25.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Wairarapa,36.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Nelson Marlborough,35.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Nelson Marlborough,20.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Nelson Marlborough,34.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,West Coast,38,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,West Coast,24.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,West Coast,35.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Canterbury,36.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Canterbury,22.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Canterbury,35,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,South Canterbury,38.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,South Canterbury,23.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,South Canterbury,36.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Southern,35.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Southern,23.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Southern,33.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Total,34.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",District health board,Total,22.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",District health board,Total,32.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Northland,21.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Northland,27.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Northland,20.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waitematā,14.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waitematā,21.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waitematā,13.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Auckland,11.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Auckland,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Auckland,11.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Counties Manukau,11.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Counties Manukau,15,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Counties Manukau,10.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waikato,23.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Waikato,16.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Lakes,17.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Lakes,23.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Lakes,16.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Bay of Plenty,18.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Bay of Plenty,26.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Bay of Plenty,18.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Tairāwhiti,18.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Tairāwhiti,22.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Tairāwhiti,17.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Taranaki,17.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Taranaki,24.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Taranaki,17.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hawke's Bay,17.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hawke's Bay,25.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hawke's Bay,17.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Whanganui,20,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Whanganui,24.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Whanganui,19.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,MidCentral,17.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,MidCentral,23.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,MidCentral,17.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hutt Valley,16.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hutt Valley,21.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Hutt Valley,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Capital and Coast,16.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Capital and Coast,21.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Capital and Coast,16,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Wairarapa,21.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Wairarapa,27.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Wairarapa,21.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Nelson Marlborough,22.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Nelson Marlborough,28.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Nelson Marlborough,22.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,West Coast,23,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,West Coast,28.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,West Coast,22.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Canterbury,18,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Canterbury,24.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Canterbury,17.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,South Canterbury,21.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,District health board,Hawke's Bay,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,South Canterbury,29.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,South Canterbury,21.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Southern,17.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Southern,25.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Southern,17.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Total,16.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",District health board,Total,22.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",District health board,Total,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Northland,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Northland,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Northland,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waitematā,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waitematā,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waitematā,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Auckland,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Auckland,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Auckland,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Counties Manukau,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Counties Manukau,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Counties Manukau,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waikato,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waikato,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Waikato,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Lakes,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Lakes,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Lakes,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Bay of Plenty,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Bay of Plenty,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Bay of Plenty,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Tairāwhiti,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Tairāwhiti,0.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Tairāwhiti,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Taranaki,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Taranaki,0.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Taranaki,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hawke's Bay,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hawke's Bay,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hawke's Bay,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Whanganui,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Whanganui,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Whanganui,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,MidCentral,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,MidCentral,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,MidCentral,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hutt Valley,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hutt Valley,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Hutt Valley,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Capital and Coast,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Capital and Coast,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Capital and Coast,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Wairarapa,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Wairarapa,0.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Wairarapa,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Nelson Marlborough,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Nelson Marlborough,0.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Nelson Marlborough,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,West Coast,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,West Coast,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,West Coast,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Canterbury,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Canterbury,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Canterbury,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,South Canterbury,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,South Canterbury,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,South Canterbury,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Southern,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Southern,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Southern,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Total,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",District health board,Total,0.1,percentage,% of people where information available,
