Year ended June,Grouping variable,Category,Measure,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1,Metadata 2
2024,Household size,Three–person household,Households,Relative sampling error,8.5,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Households,Percentage change from previous survey,-1,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Households,Sampling error for percentage change,10.5,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Median household net worth,Amount,587,nzd,NZD thousands,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Median household net worth,Relative sampling error,18.1,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Median household net worth,Percentage change from previous survey,44.5,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Median household net worth,Sampling error for percentage change,42.9,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Mean household net worth,Amount,1108,nzd,NZD thousands,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Mean household net worth,Relative sampling error,14.1,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Mean household net worth,Percentage change from previous survey,20.9,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Mean household net worth,Sampling error for percentage change,27.9,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Total household net worth,Amount,340877757,nzd,NZD thousands,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Total household net worth,Relative sampling error,16,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Total household net worth,Percentage change from previous survey,32.3,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Total household net worth,Sampling error for percentage change,32.4,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Households,Count,308,number,Number of households,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Households,Relative sampling error,6.9,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Four–person household,Households,Percentage change from previous survey,9.4,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
